book_number,title,author,language,genres,plain_text_url
5218,The Satyricon — Volume 01: Introduction,"Petronius Arbiter, 20-66",English,"['Classics of Literature', 'Humour', 'Novels']",https://www.gutenberg.org/ebooks/5218.txt.utf-8
5219,The Satyricon — Volume 02: Dinner of Trimalchio,"Petronius Arbiter, 20-66",English,"['Classics of Literature', 'Novels']",https://www.gutenberg.org/ebooks/5219.txt.utf-8
5220,The Satyricon — Volume 03: Encolpius and His Companions,"Petronius Arbiter, 20-66",English,"['Classics of Literature', 'Novels']",https://www.gutenberg.org/ebooks/5220.txt.utf-8
5221,The Satyricon — Volume 04 : Escape by Sea,"Petronius Arbiter, 20-66",English,"['Classics of Literature', 'Novels']",https://www.gutenberg.org/ebooks/5221.txt.utf-8
5222,The Satyricon — Volume 05: Crotona Affairs,"Petronius Arbiter, 20-66",English,"['Mythology, Legends & Folklore', 'Novels', 'Classics of Literature']",https://www.gutenberg.org/ebooks/5222.txt.utf-8
5223,The Satyricon — Volume 06: Editor's Notes,"Petronius Arbiter, 20-66",English,"['Classics of Literature', 'Novels']",https://www.gutenberg.org/ebooks/5223.txt.utf-8
5225,The Satyricon — Complete,"Petronius Arbiter, 20-66",English,"['Classics of Literature', 'Novels']",https://www.gutenberg.org/ebooks/5225.txt.utf-8
5226,Life and Letters of Thomas Henry Huxley — Volume 2,"Huxley, Thomas Henry, 1825-1895",English,['Biographies'],https://www.gutenberg.org/ebooks/5226.txt.utf-8
5227,Sant' Ilario,"Crawford, F. Marion (Francis Marion), 1854-1909",English,['Novels'],https://www.gutenberg.org/ebooks/5227.txt.utf-8
5228,"Ayesha, the Return of She","Haggard, H. Rider (Henry Rider), 1856-1925",English,"['Science-Fiction & Fantasy', 'Adventure', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/5228.txt.utf-8
5229,Felix O'Day,"Smith, Francis Hopkinson, 1838-1915",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/5229.txt.utf-8
5230,The Invisible Man: A Grotesque Romance,"Wells, H. G. (Herbert George), 1866-1946",English,"['Science-Fiction & Fantasy', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/5230.txt.utf-8
5231,The Way We Live Now,"Trollope, Anthony, 1815-1882",English,"['Novels', 'British Literature']",https://www.gutenberg.org/ebooks/5231.txt.utf-8
5233,The Iron Trail,"Beach, Rex, 1877-1949",English,"['American Literature', 'Adventure', 'Novels']",https://www.gutenberg.org/ebooks/5233.txt.utf-8
5234,The Confessions of Harry Lorrequer — Volume 1,"Lever, Charles James, 1806-1872",English,"['Adventure', 'Humour', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/5234.txt.utf-8
5235,The Confessions of Harry Lorrequer — Volume 2,"Lever, Charles James, 1806-1872",English,"['Humour', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/5235.txt.utf-8
5236,The Confessions of Harry Lorrequer — Volume 3,"Lever, Charles James, 1806-1872",English,"['Adventure', 'Humour', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/5236.txt.utf-8
5237,The Confessions of Harry Lorrequer — Volume 4,"Lever, Charles James, 1806-1872",English,"['Romance', 'Humour', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/5237.txt.utf-8
5238,The Confessions of Harry Lorrequer — Volume 5,"Lever, Charles James, 1806-1872",English,"['Adventure', 'Humour', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/5238.txt.utf-8
5239,The Confessions of Harry Lorrequer — Volume 6,"Lever, Charles James, 1806-1872",English,"['Adventure', 'Humour', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/5239.txt.utf-8
5240,The Confessions of Harry Lorrequer — Complete,"Lever, Charles James, 1806-1872",English,"['Adventure', 'Humour', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/5240.txt.utf-8
5241,The Eye of Zeitoon,"Mundy, Talbot, 1879-1940",English,"['Historical Novels', 'Adventure']",https://www.gutenberg.org/ebooks/5241.txt.utf-8
5242,Tales from the Arabic — Volume 01,Author not found,English,"['Short Stories', 'Mythology, Legends & Folklore']",https://www.gutenberg.org/ebooks/5242.txt.utf-8
5243,Tales from the Arabic — Volume 02,Author not found,English,"['Short Stories', 'Mythology, Legends & Folklore']",https://www.gutenberg.org/ebooks/5243.txt.utf-8
5244,Tales from the Arabic — Volume 03,Author not found,English,"['Romance', 'Adventure', 'Mythology, Legends & Folklore']",https://www.gutenberg.org/ebooks/5244.txt.utf-8
5245,Tales from the Arabic — Complete,Author not found,English,"['Short Stories', 'Mythology, Legends & Folklore']",https://www.gutenberg.org/ebooks/5245.txt.utf-8
5247,The Old Wives' Tale,"Bennett, Arnold, 1867-1931",English,"['Novels', 'British Literature']",https://www.gutenberg.org/ebooks/5247.txt.utf-8
5248,"The ""Dock Rats"" of New York; Or, The Smuggler Band's Last Stand","Old Sleuth, 1839?-1898",English,"['American Literature', 'Adventure', 'Novels', 'Crime, Thrillers and Mystery']",https://www.gutenberg.org/ebooks/5248.txt.utf-8
5251,The Long Vacation,"Yonge, Charlotte M. (Charlotte Mary), 1823-1901",English,"['Novels', 'British Literature']",https://www.gutenberg.org/ebooks/5251.txt.utf-8
5253,The Maid of the Whispering Hills,"Roe, Vingie E. (Vingie Eve), 1879-1958",English,"['Historical Novels', 'Adventure', 'Novels']",https://www.gutenberg.org/ebooks/5253.txt.utf-8
5254,Four Little Blossoms on Apple Tree Island,"Hawley, Mabel C.",English,"['Children & Young Adult Reading', 'Novels']",https://www.gutenberg.org/ebooks/5254.txt.utf-8
5256,The History of the Life of the Late Mr. Jonathan Wild the Great,"Fielding, Henry, 1707-1754",English,"['Novels', 'British Literature']",https://www.gutenberg.org/ebooks/5256.txt.utf-8
5257,The Broad Highway,"Farnol, Jeffery, 1878-1952",English,"['Adventure', 'Humour', 'Romance', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/5257.txt.utf-8
5259,Hildegarde's Neighbors,"Richards, Laura Elizabeth Howe, 1850-1943",English,"['Children & Young Adult Reading', 'Novels']",https://www.gutenberg.org/ebooks/5259.txt.utf-8
5260,"A Duet, with an Occasional Chorus","Doyle, Arthur Conan, 1859-1930",English,"['Romance', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/5260.txt.utf-8
5261,Constance Dunlap,"Reeve, Arthur B. (Arthur Benjamin), 1880-1936",English,"['Novels', 'Crime, Thrillers and Mystery']",https://www.gutenberg.org/ebooks/5261.txt.utf-8
5262,Curly and Floppy Twistytail (The Funny Piggie Boys),"Garis, Howard Roger, 1873-1962",English,"['Adventure', 'Short Stories', 'Children & Young Adult Reading', 'Humour']",https://www.gutenberg.org/ebooks/5262.txt.utf-8
5263,"The Girl Scout Pioneers; Or, Winning the First B. C.","Garis, Lilian, 1873-1954",English,"['Adventure', 'Children & Young Adult Reading', 'Novels']",https://www.gutenberg.org/ebooks/5263.txt.utf-8
5264,Patty's Butterfly Days,"Wells, Carolyn, 1862-1942",English,"['American Literature', 'Children & Young Adult Reading', 'Novels']",https://www.gutenberg.org/ebooks/5264.txt.utf-8
5267,Sister Carrie,"Dreiser, Theodore, 1871-1945",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/5267.txt.utf-8
5270,The Film Mystery,"Reeve, Arthur B. (Arthur Benjamin), 1880-1936",English,"['Novels', 'Crime, Thrillers and Mystery']",https://www.gutenberg.org/ebooks/5270.txt.utf-8
5271,Marjorie's Vacation,"Wells, Carolyn, 1862-1942",English,"['American Literature', 'Adventure', 'Children & Young Adult Reading', 'Novels']",https://www.gutenberg.org/ebooks/5271.txt.utf-8
5274,The Chaplet of Pearls,"Yonge, Charlotte M. (Charlotte Mary), 1823-1901",English,"['Historical Novels', 'Novels']",https://www.gutenberg.org/ebooks/5274.txt.utf-8
5275,Tales and Novels of J. de La Fontaine — Volume 01,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'Humour', 'French Literature']",https://www.gutenberg.org/ebooks/5275.txt.utf-8
5276,Tales and Novels of J. de La Fontaine — Volume 02,"La Fontaine, Jean de, 1621-1695",English,"['Classics of Literature', 'Short Stories', 'French Literature']",https://www.gutenberg.org/ebooks/5276.txt.utf-8
5277,Tales and Novels of J. de La Fontaine — Volume 03,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'Humour', 'French Literature']",https://www.gutenberg.org/ebooks/5277.txt.utf-8
5278,Tales and Novels of J. de La Fontaine — Volume 04,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'French Literature']",https://www.gutenberg.org/ebooks/5278.txt.utf-8
5279,Tales and Novels of J. de La Fontaine — Volume 05,"La Fontaine, Jean de, 1621-1695",English,"['Romance', 'Adventure', 'Novels', 'French Literature']",https://www.gutenberg.org/ebooks/5279.txt.utf-8
5280,Tales and Novels of J. de La Fontaine — Volume 06,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'Mythology, Legends & Folklore', 'French Literature']",https://www.gutenberg.org/ebooks/5280.txt.utf-8
5281,Tales and Novels of J. de La Fontaine — Volume 07,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'French Literature']",https://www.gutenberg.org/ebooks/5281.txt.utf-8
